date,RiskMetrics,Historical,F_Historical,MonteCarlo,GARCH,EGARCH,GJR_GARCH
2015-12-23,-0.017701480085188813,-0.017345218519999997,-0.016212921518378637,-0.017800759252335714,-0.017528229636174862,-0.018720669288393374,-0.01742884545921408
2015-12-24,-0.0171650518932024,-0.017345218519999997,-0.016608044951927928,-0.018224185813368318,-0.01789132570872333,-0.01935751258129941,-0.016857361041749203
2015-12-28,-0.016643132739165782,-0.017345218519999997,-0.015426989004291222,-0.016969216585891216,-0.01705532439977479,-0.018068576446594535,-0.016254879331915086
2015-12-29,-0.016694245712734916,-0.017345218519999997,-0.014751474504201407,-0.016218681288279902,-0.01625666303823113,-0.016720391868960637,-0.01566816064287633
2015-12-30,-0.016373517315452554,-0.017345218519999997,-0.01495164831694107,-0.0164138034022946,-0.0162071661777927,-0.01697271585662809,-0.015154565777257129
2015-12-31,-0.016388727611086024,-0.017345218519999997,-0.014167096420426455,-0.015593837312349633,-0.0158065753218259,-0.01672530972069013,-0.015151117137534968
2016-01-04,-0.0168105781071046,-0.017345218519999997,-0.014191499503829957,-0.01563485028883166,-0.015951850908413737,-0.01713619065381098,-0.015951030917508716
2016-01-05,-0.01663405173556416,-0.017345218519999997,-0.014783061405257761,-0.01629621037163182,-0.01670268021198036,-0.01809268839658956,-0.017587406844264103
2016-01-06,-0.01708091970259536,-0.017345218519999997,-0.015028333581057946,-0.016500896014509974,-0.016341713585112348,-0.017852856190962822,-0.016963308668537836
2016-01-07,-0.018206297201744864,-0.017345218519999997,-0.015165548844737711,-0.01670375243772499,-0.017114491338447096,-0.018800949716252045,-0.01854641369159614
2016-01-08,-0.018289996215902528,-0.017367651760000002,-0.016628384768817384,-0.018301050456374014,-0.018825927581438823,-0.020472671410826038,-0.021351035508146755
2016-01-11,-0.01773308594552094,-0.017367651760000002,-0.016917894994866636,-0.018599350347807353,-0.018925922489228936,-0.0208176710469945,-0.021838920720071233
2016-01-12,-0.01726177928703675,-0.017367651760000002,-0.01639594277824452,-0.017999666148163233,-0.018010535708842073,-0.0192412296714227,-0.020962774916120454
