date,RiskMetrics,F_Historical,MonteCarlo,GARCH,FIGARCH,EGARCH,TARCH,GJR_GARCH
2016-03-03,-0.022254698993156345,-0.019342842267770145,-0.021180100867371238,-0.021182619171165477,-0.020215161958230744,-0.02185320787945132,-0.019915112457721578,-0.02103263458978113
2016-03-04,-0.02168320364530428,-0.01830309274445279,-0.020052275041941726,-0.02013370910845065,-0.019281245790753184,-0.02029136625365636,-0.01891751693957832,-0.020201408427358215
2016-03-07,-0.021134488592632113,-0.017704897947700936,-0.0193765980166621,-0.019327098727142486,-0.018359174366049398,-0.019437302362929735,-0.017908567689262328,-0.019440553123136542
2016-03-08,-0.020787556055365683,-0.01697400925629927,-0.018578767484540352,-0.018533936188362465,-0.017344115016143382,-0.018633371670746225,-0.01697134501624748,-0.018701140294107528
2016-03-09,-0.020438536135318985,-0.0163089869029374,-0.017891620626730692,-0.01822302297746975,-0.01693884022953008,-0.018642469149084854,-0.01800729175524993,-0.01882453458650717
2016-03-10,-0.019823782609886143,-0.016325604913448,-0.017866059336766778,-0.017737458177633343,-0.016450270704610186,-0.018366513262262622,-0.017106963607002267,-0.018121412596396852
2016-03-11,-0.020172680897621767,-0.015366172653382892,-0.016835638014718567,-0.0168867663029022,-0.01566189770694429,-0.01704006412774932,-0.01615138101631866,-0.017423386044495528
2016-03-14,-0.019558153740474322,-0.016321383581297096,-0.017842437605007935,-0.017537745623761394,-0.016531124664953056,-0.01802759561840762,-0.015510156829613556,-0.01686670965450201
2016-03-15,-0.019074702472038713,-0.015152542363801568,-0.016604685682103788,-0.016700952704663114,-0.01584507515348636,-0.01673473780264953,-0.014702282544603467,-0.0162303649271731
2016-03-16,-0.018690811747476128,-0.014527143071574277,-0.015933660811050958,-0.01615901308955884,-0.015537501785777934,-0.016346428065272853,-0.015115000296548444,-0.015988969016962454
2016-03-17,-0.018231929816586064,-0.014390300915556008,-0.01575529248256083,-0.015661305752583725,-0.015073883866128982,-0.01600682701876498,-0.014388355885327159,-0.015410349577942569
2016-03-18,-0.017820092738499764,-0.013764734650802388,-0.01513890965022635,-0.015071663310122425,-0.014494315930899792,-0.015436004621586596,-0.013697242219419002,-0.014874373626240604
