,getIVP,getHRP,getMV,getOneOverN
107,1.777072624,1.532558239,3.402436926,1.423088435
108,2.107716601,1.49462259,-0.569175813,3.101045979
109,-1.72527492,-2.886509468,-1.474750395,-4.66013189
110,-3.079175223,-2.453986376,-1.595032463,-2.510079587
111,1.944379355,3.552110916,4.944270814,-2.30317953
112,5.003070197,4.262099858,5.250335414,4.252061767
113,4.649095563,7.693489454,8.488192109,3.678768779
114,5.564563094,6.653833329,7.700374523,3.9157768
115,-0.104705403,0.036884025,1.784571177,1.647212203
116,-0.543310525,-0.182534004,-0.874798084,-3.014254125
117,-0.265319194,0.516606871,1.819251799,1.108538596
118,-3.25084323,-1.694281495,-0.058677428,-0.153851311
119,-0.501556399,-1.553773068,-3.365509123,1.033271418
120,3.085076753,3.770796533,3.657397904,2.534694657
121,-0.515950288,0.494156524,0.477864317,-0.721299584
122,3.628462558,4.105874163,7.594469176,2.94952572
123,7.472047662,5.525603473,3.903779297,12.38035033
124,-0.508626745,1.195904015,1.450836276,-5.540059093
125,0.836437495,1.766756271,2.341150925,0.306703049
126,4.097122507,3.605530707,4.198246396,3.957841351
127,8.121111858,8.695964534,8.028382918,7.15805671
128,1.827140984,2.721333742,1.295115239,5.287819103
129,3.022272646,2.686157116,4.0448867,-1.884510255
130,2.998915256,2.520105637,5.016952492,3.157104041
131,4.425236092,5.971709993,8.488990947,2.314387167
132,11.48762248,12.28478336,11.53301824,5.125714298
133,1.993079007,2.224550333,7.506380027,-0.097259435
134,0.386232381,0.632078061,1.505111755,-0.895737868
135,5.915001972,5.368461991,2.317908862,2.688836163
136,1.067340212,1.113474617,2.878157829,3.322651436
137,1.419470833,4.590548058,6.657118123,0.117788191
138,5.261775804,4.575402818,5.730182291,2.348182837
139,8.394877431,8.20228199,3.596010808,5.67163383
140,2.163833499,1.06257794,-0.693901145,-1.298521184
141,1.544804107,2.032928769,3.253477867,3.400850365
142,4.733835206,3.757096869,4.414720021,4.859656429
143,2.319143742,2.047573218,-0.47039783,7.762192476
144,0.042478825,0.764102583,1.246039414,1.27825867
145,-1.626286715,-0.039871201,-0.875518867,-3.248524892
146,3.633457688,3.662092789,4.816539033,-0.528415481
147,1.782449145,2.86190909,6.499616121,0.066926914
148,2.887497417,3.141138373,2.805114343,4.463234036
149,0.440463043,0.819215739,1.574996179,-0.142371709
150,9.56754615,9.63439273,9.764966879,10.85830048
151,-0.459108582,-0.571263597,1.03008958,-0.384710563
152,3.298335838,3.669817653,7.927320388,-1.987635867
153,6.082945384,8.129494644,0.374686301,7.08635431
154,5.53278463,5.026122666,6.359452581,1.804559869
155,2.132263642,4.467474272,7.416671272,0.605329703
156,2.489546374,2.574842491,4.958964277,0.109426886
157,4.597484471,5.911062112,-0.355055773,11.68888448
158,-1.28847098,-4.042023169,-2.007025748,1.218659531
159,2.053152259,2.990194595,3.898357916,0.363177585
160,6.415586539,7.174138592,1.674770312,11.16763864
161,-2.469112327,-2.510034876,-1.859542495,-3.228316443
162,5.211406484,8.088919137,2.915960271,9.19848907
163,1.645368773,1.745530146,1.106085216,7.039421488
164,7.008360999,6.155640169,4.507833818,2.561732448
165,-1.224024825,0.139832307,3.967040197,-1.800732631
166,0.906932888,1.328564716,2.648887497,0.069218356
167,-0.934201095,-0.208292954,0.274041982,-1.296474686
168,2.310136704,3.009611878,2.499653783,1.410412168
169,1.55395233,3.914242047,5.117960809,1.463440367
170,4.296082291,6.755075595,11.82233429,2.627139309
171,3.961382303,4.609996897,7.759967743,5.573953205
172,0.320073637,2.037756303,3.504780892,-4.705392649
173,0.729508995,1.770245514,5.696684022,5.347725569
174,5.389299892,5.74611688,2.053581949,5.496278723
175,0.312495645,-0.79032324,0.904631861,3.619798235
176,5.975372194,4.703154615,1.532258973,3.232970472
177,2.100656331,1.996532248,-0.292546393,3.432307406
178,0.456051854,0.790520431,1.005653872,-2.318202854
179,-3.071878476,-2.855613765,-1.126559693,-3.075852373
180,1.175538839,2.343298616,4.909490742,-1.307978303
181,3.898925057,4.459214352,5.455665082,5.639709677
182,4.221170554,6.921130094,7.93929037,-1.644135432
183,-0.336148643,-0.406063394,-0.800048332,1.746691981
184,-1.399944854,0.754982256,-0.261937083,-4.365057724
185,4.931144075,8.064283948,8.980109748,2.21891955
186,6.39808969,5.17148741,2.416152239,7.775752789
187,16.05930643,14.76328872,7.897274941,11.56310105
188,0.44994873,1.525455156,1.400558504,-1.471114747
189,-4.45903419,-4.876878233,-4.199211777,-1.9221151
190,-0.337229773,-0.041444129,3.906196216,-0.306698225
191,-1.217449987,-0.291612172,1.424453385,-2.276020755
192,-0.517287232,-0.091409221,-2.617777027,-3.033120648
193,-0.718237614,0.010598995,-3.137237989,-3.168201517
194,-2.58884374,-5.927511248,-8.990281205,4.81356986
