date,IRO1RINM0001,IRO1KCHI0001,IRO1PSIR0001,IRO1ZMYD0001,IRO1OFRS0001,IRO1TRIR0001,IRO1DJBR0001,IRO1DSBH0001,IRO1GPSH0001,IRO1SGOS0001,IRO1PAKS0001,IRO1DKSR0001,IRO1KSIM0001,IRO1MHKM0001,IRO1SSEP0001,IRO1SHFS0001,IRO1PMSZ0001,IRO1MNGZ0001,IRO1FRVR0001,IRO1SSHR0001,IRO1KIMI0001,IRO1HJPT0001,IRO1EPRS0001,IRO1SSIN0001,IRO1GNBO0001,IRO1SBEH0001,IRO1SHMD0001,IRO1SHPZ0001,IRO1ASAL0001,IRO1BARZ0001,IRO1FOLD0001,IRO1DOSE0001,IRO1BAMA0001,IRO1SORB0001,IRO1NALM0001,IRO1EXIR0001,IRO1MSMI0001,IRO1SHKR0001,IRO1HMRZ0001,IRO1RTIR0001,IRO1TBAS0001,IRO1HTOK0001,IRO1MAGS0001,IRO1GTSH0001,IRO1ABAD0001,IRO1PRDZ0001,IRO1TRNS0001,IRO1FKHZ0001,IRO1TKSM0001,IRO1DPAK0001,IRO1NMOH0001,IRO1PARK0001,IRO1SAHD0001,IRO1DSIN0001,IRO1DRZK0001,IRO1DALZ0001,IRO1INFO0001,IRO1SYSM0001,IRO1TKIN0001,IRO1BAHN0001,IRO1LEAB0001,IRO1GOLG0001,IRO1MINO0001,IRO1FAIR0001,IRO1AZIN0001,IRO1GESF0001,IRO1IRDR0001,IRO1KHSH0001,IRO1NKOL0001,IRO1SDAB0001,IRO1NBEH0001,IRO1AMIN0001,IRO1SKER0001,IRO1STEH0001,IRO1SROD0001,IRO1CHML0001,IRO1SGRB0001
9/27/2014,-0.019131128,-0.013961606,0.021770221,0.036213992,0.001128032,0.019623234,0.006667407,-0.002121212,0.003116478,0.002265006,0.015288122,0.008182683,-0.032258065,0.003252788,-0.00116144,-0.016549968,0.012452626,0.000173913,0.018838908,0.023694391,0.002774108,-0.035108025,-0.002375,0.003994674,-0.003335089,-0.025862069,-0.033613445,-0.030708661,-0.013035382,-0.005524862,-0.00279888,0.021841631,-0.020721649,-0.03402854,0.006015038,0,-0.02190988,0.007604563,-3.17E-05,-0.01957672,0.042979243,-0.014336918,0.037881521,0.016728972,0.039153439,0,0.036432161,0.009658247,0.004317789,0.024528758,0.02198364,-0.024778058,-0.005102041,0.005850146,0.024760055,-0.025724297,-0.006972112,0,-0.004950976,-0.012628625,0.016475845,0.002079788,-0.010344828,-0.003206156,-0.008264463,-0.021590909,0.039939486,0.013781698,-0.003422313,-0.018360376,-0.006593407,0.039961834,0.008986463,-0.014481707,-0.034148313,0.00862069,-0.030697674
9/28/2014,0.0219423,-0.007522124,-0.026905132,0.004765687,0.048450704,-0.014626636,-0.028590352,0.000607349,0.036504854,0,-0.034749035,0.03982635,0.012820513,0.005558129,-0.019767442,0.001456311,0,-0.014084507,-0.028113208,-0.010864431,-0.01330523,-0.012395042,0.008645533,-0.00530504,0.003874604,0.012389381,-0.014492754,0.014622258,-0.017358491,0.01,-0.005613472,-0.062224333,0.003684598,-0.013068182,0.012705531,0,-0.00295858,0.0393531,-0.003174603,0.034538586,0.011472723,-0.007272727,0.039974972,-0.016453718,0.021894094,0,-0.008484848,-0.012214864,-0.01977644,0.01957778,0.016508254,0.004076087,0.040512821,0.039967191,-0.015816327,0.017280702,0.003009027,0,-0.006731707,0.013737565,-0.005494505,-0.018867925,-0.009902806,-0.024766806,-0.000416667,0.052264808,0.017748036,0.023926047,-0.002747253,0,0.004424779,0,-0.00789177,-0.017272493,0.015690377,-0.005470085,-0.000959693
9/29/2014,0.028230616,-0.001248328,0.050663257,-0.011857708,0.029016658,0.011458333,-0.011363636,0,0.030910453,0.028248588,-0.02,0.030858595,0,-0.023030861,-0.003558719,0.038940055,0,-0.004232804,0.009512716,0.002387775,-0.025367156,0.042105263,0.007080745,-0.011866667,0.026315789,-0.005594406,0.059705882,0.010408327,0.040130568,0.00990099,0.014112903,-0.013603473,-0.003566184,0.011514105,0.038130381,0,0,0.032157676,0.00477707,0.037558685,0,0,0.036967712,-0.007476636,-0.007972098,0,0.002444988,-0.000297974,-0.007894737,-0.024522846,0.039370079,-0.000135318,-0.014785609,0.039148204,-0.000222173,-0.023885488,-0.007,0,0.001866221,-0.007009346,0.022928177,0.038461538,0.04315614,0.042216359,0.012505211,0.028697572,0.014865638,0.038767924,0,-0.009134406,-0.017048458,0,-0.012272727,-0.001836306,-0.021627188,0.022688209,-0.000960615
9/30/2014,0.024361949,0.029372377,0.029662306,0.02,0.011749347,0.027033986,0.01137931,0,-0.018717063,0.03956044,-0.017142857,0.009684804,0.015189873,0.060348892,0.017857143,0.009020218,0,0.000708466,-0.005769231,-0.018580276,-0.013972603,0.03030303,-0.01319847,-0.000134935,-0.018803419,0.005625879,0.013599778,0.034865293,-0.024367731,-0.019607843,0.02584493,-0.010416667,0.010526316,0.009675583,0.039810427,0,-0.005934718,-0.020100503,-0.001584786,-0.014580191,-0.034722222,0.0003663,0.009960031,-0.000659134,0.037167253,0,0.020731707,-0.003576751,-0.00530504,-0.015771374,0.038352273,0.001488699,-0.010505253,-0.037466363,0.017925926,0.001766784,0.00694864,0,-0.014607843,0.043294118,0.034836619,-0.014814815,-0.021661932,-0.002531646,0.02799506,-0.002145923,-0.000140845,0.007157464,0,0.009657594,-0.001658226,0,0.035434883,0.009986859,0.029473684,-0.000336134,0.005769231
10/1/2014,-0.003397508,-0.02254987,0.039887723,0.011764706,0.007483871,0.037603409,-0.033981134,0,0.007407407,-0.024312896,-0.000830565,-0.020579002,-0.004488778,-0.022232103,0.005847953,-0.036683107,0,-0.013628319,-0.006769826,0.003398058,0.010697416,0.024886878,-0.00125,-0.000404858,-0.023519164,-0.008916084,0.004791895,0.029862175,-0.01589404,0.005666667,-0.005813953,0.005930319,0.009270833,-0.019165727,0.039881495,0,0.014925373,-0.006666667,0.006031746,0.033163265,-0.023261391,-0.000366166,0.063447483,0.00348629,0.015496368,0,-0.000716846,-0.001346096,0.030666667,0.022891566,0.007751938,-0.001081081,0.005561173,-0.003584229,-0.053922282,-0.011992945,-0.00990099,0,-0.002089344,0.01759134,-0.001826722,0.037593985,-0.012341198,0.00285533,0.024429315,-0.023655914,-0.003803353,-0.015228426,-0.002754821,0.013043478,-0.003187287,0,-0.005555556,0.005724694,-0.018404908,-0.000504371,-0.005162524
10/4/2014,0.010984848,0.020408163,0.037647393,0.041860465,-0.027407787,-0.016187485,-0.000117647,0,0.040625,-0.002708559,-0.015586035,-0.011930199,-0.003507014,0.045475216,-0.005813953,0.008,0,-0.009689575,-0.014605648,-0.010159652,0.017182131,-0.007726269,0.001376721,-0.002970163,0.043710972,0.001058388,0.011718218,0.040892193,0.014997116,-0.005634736,0.013255361,-0.016949153,-0.0294148,0,0.030462415,0,-0.012605042,0.051626226,-0.004733354,0.022222222,0.001718635,0.001465201,0,0.043568075,-0.00286123,0,-0.005738881,0,0.008193187,-0.00647821,0.026244344,-0.00974026,-0.009552539,-0.010503597,0.026844089,-0.000357015,0,0,0.038484546,-0.005762411,-0.017777778,0.00634058,-0.009187799,0.005378045,0.034792807,0.052863436,-0.017392534,0.050515464,-0.003970994,-0.027038627,-0.00468363,0,0.00547486,0.000776197,0.010416667,-0.006223717,-0.000768787
10/6/2014,-0.010865493,-0.030434783,-0.003559693,0.033482143,0.027126679,0.006876228,0.011648429,0,-0.017664724,0.020097773,0.002111041,-0.014236799,-0.022121669,-0.021313615,0,0.002380952,0.020855615,0.061605363,0.007905138,-0.007820137,-0.001351351,0.001483129,-0.006374203,-0.00338524,-0.008547009,0.003524229,-0.015622896,-0.03,-0.016859254,0,-0.007310504,0.01191904,0.010208422,0.01091954,0.03275202,0,-0.005106383,0.001472754,-0.001268231,0.033333333,0.023284314,0.005852231,0,0.027712795,-0.021999044,0,-0.002886003,-0.005541411,-0.030795552,-0.004267931,0.029982363,0,-0.011167513,0.010615094,-0.027303371,-0.023660714,-0.01010101,0,0.033026114,-0.013820776,-0.006121906,0.005220522,0.018175074,0.00094399,0.024556101,0.0041841,-0.02288099,0.035819431,-0.002080083,-0.003087781,0.001085924,0,-0.025447272,-0.009824199,-0.029896907,0.010155721,0.005962685
10/7/2014,0.034090909,0.013363229,-0.009343226,-0.024478042,-0.017692308,0.024390244,-0.021632938,0,-0.025175328,-0.048988285,0.000631978,-0.021206581,-0.022879177,-0.029777778,-0.005847953,-0.01821061,-0.020429544,0.010923366,0.009803922,0.000492611,-0.00744249,-0.029988893,0.033584906,-0.010597826,-0.014310345,-0.015276558,-0.015597209,0.005891016,-0.01734104,0,-0.01124031,-0.01177865,0.006210526,-0.026719727,0.035008237,0,-0.003421728,-0.029901961,0.002539683,0.009350164,-0.026347305,-0.024363636,-0.030251193,0.034232184,0.017603912,0,-0.025566811,-0.004518072,0.041482789,-0.037980712,-0.00385274,-0.00273224,0.000513347,0.007194245,-0.006083709,-0.004298125,0.004081633,0,-0.007713755,0.047016275,0.004284949,0.00465616,-0.007103825,0.000314367,-0.008112094,-0.029166667,0.000589102,-0.021316911,-0.000347403,0.033185841,0.001129944,0,-0.001596351,0.031331593,0.009989373,-0.019939678,0.007648184
10/8/2014,0.010989011,-0.03973803,0.038280166,0.043542435,0.046202036,-0.002380952,0.015216358,0,-0.01346615,-0.026315789,0.010526316,0.014194994,0.015259142,0.062299588,0,0,-0.010695187,0.01958467,0.005825243,-0.005416051,0.00204499,0.01221374,-0.014238773,0.029936831,-0.033933881,0.019614836,-0.004725504,0.038799414,0.003921569,0,0.000784006,-0.01041979,0.014436657,0.001752336,0.038002388,0,-0.011587983,-0.019706923,-0.021849272,0.042149143,-0.010824108,0.013790533,0.016680593,0.031913993,-0.027871216,0,0.003465347,-0.002571861,0.030084746,0.00259901,0.012462398,-0.002739726,0.015905593,0.0015,-0.000503622,-0.016164585,-0.007926829,0,-9.37E-05,0.035405872,-0.001333333,-0.000356506,-0.008255366,0.00282841,-0.036802974,-0.002145923,0.018545776,0.039690223,0.018071242,-0.035546039,-0.002437923,0,0.005025126,-0.008607595,-0.006734007,-0.013335613,-0.007590133
10/11/2014,-0.015942029,-0.004147465,0.037135987,0,0.02994012,-0.009546539,0.022248244,0.005547582,0.001308901,0.045428407,-0.016458333,0.020257827,0.043534594,0.031479086,-0.011176471,-0.009677419,-0.008648649,0.039907269,-0.002702703,0.001980198,-0.000544218,-0.002262443,0.03654321,-0.0092,0.005612892,-0.00192375,0,0.023960536,-0.009765625,-0.011111111,0,-0.00575714,0.007012478,0.004081633,0.025493579,0,-0.023013461,0.005154639,0.024603432,0.003111111,-0.001243472,0,0.007549008,-0.021985234,0.015323777,0,0.038973853,0.001061732,0.027972028,-0.003826688,-0.03565365,0.001923077,0.034848485,0.024819913,-0.003372093,0.001120239,0.003892645,0,0.023791682,0.013344454,0,-0.020684736,0.028486866,0.007521153,0.020455423,0.029032258,0.003323699,-0.003724395,0.022188087,0.006660746,-0.003892107,0,0.010795455,-0.021961185,-0.006144068,0,-0.000764818
10/12/2014,-0.020618557,0.007866728,0.039670273,-0.030410184,0.037306202,0.021686747,-0.003092784,-0.032915567,0.01774043,0.00110011,0.007413684,-0.023465704,-0.011671219,0.007943144,0,-0.00732899,0.060523446,0.035031847,0.006581494,-0.030632411,0.007350939,-0.003779289,-0.001429252,0.03673799,-0.000720202,0.004380585,0,0.0440468,0.027613412,0.011235955,0,0.013104762,-0.006656426,0.019744483,0.030280374,0,0.018222222,0,-0.041390205,-0.003101462,0.015189243,0,0.038247734,-0.007716826,-0.00194742,0,0.032051282,0.002272727,-0.008403361,0.016109046,0.012323944,0.006306553,0.009760859,0.015728304,-0.003344612,-0.001678478,0,0,-0.024611162,-0.020576132,0,0.019664967,-0.019784173,0.002177294,-0.042738275,-0.003134796,-0.020596284,0.004672897,-0.023209217,0.014556683,0.005997274,0,-0.020685779,-0.004960836,0.012577276,0,-0.01435132
10/14/2014,0.05037594,0.03728191,-0.008919722,-0.000729395,-0.000700607,0.023349057,-0.000344709,-0.007571107,-0.019816514,-0.026923077,-0.003364172,0.01663586,-0.010050251,0.044794691,0.010707912,0.012305168,-0.023136247,0.038307692,-0.000192308,0.014271152,-0.006351351,-0.002276176,0.029699427,0.015576324,-0.040720721,0.039776692,0,0.002636783,-0.011516315,-0.014888889,-0.012925969,-0.024968038,0,-0.018792711,0.014332366,0,-0.009166303,-0.007692308,-0.007580751,0.002666667,0.02281089,0,0.037595298,-0.024344886,-0.01902439,0,0.039797562,0.001511716,0.026634383,-0.003658537,0.032608696,-0.017574932,0.029482842,0.023501199,-0.004409412,-0.0033626,0.004795918,0,0.000844198,0.016806723,0,-0.013392857,0.007889908,0.000620732,0.052153299,-0.014675052,0.029558824,0.037674419,0.036581197,0,0.014045705,0.362549881,0.006773046,0.023353451,0.005684211,0,0
10/15/2014,-0.029706514,0.03983711,-0.023,-0.022627737,0.06099556,-0.020281171,0.03091954,0.038487973,-0.006926245,-0.02879729,0.017510549,0.022,-0.010152284,-0.047240969,-0.004708652,-0.008589951,-0.017368421,-0.04430286,-0.021734949,0.005025126,0.042839657,0.001901141,-0.02119773,-0.027990798,0.053719008,0.02852349,0,-0.00591716,-0.003883495,0.015113918,0.012301587,0.066101041,-0.003505155,0.006964597,0.03988553,0,-0.004405286,0,0.019561607,-0.027039007,-0.016546763,0,0.00401032,0.013689135,0.051715564,0,-0.022123894,-0.000754717,0.036949686,0.029253366,-0.032,-0.00138677,-0.009389671,-0.029321194,0.022967782,0.043111528,0.00538235,0,-0.020618557,-0.024793388,0,0.013574661,0.006735846,0.07971464,-0.004881712,-0.016382979,0.036566205,-0.033168983,0.005936675,-0.013043478,0.008328508,0.017003676,0.003420753,0.001282051,-0.015490894,0,0.001747234
10/18/2014,0.021763187,0.005448663,0,-0.006721434,0.031938326,0.000940955,-0.027316312,0.006022502,0.027709708,0.045930233,0.001658719,-0.01618929,-0.021794872,-0.012083333,-0.014192785,-0.006048717,0.037493305,-0.010387597,-0.003932363,0.0105,-0.028299426,0.051612903,-0.009467456,0.004996713,-0.000534759,-0.008156607,0.035290337,-0.027777778,0.005068226,0,0.02744022,0.012950369,-0.015001035,-0.000576369,-0.040247678,0,0.004424779,0.030490956,-0.006123978,-0.006833713,0.021702024,0.080882353,-0.012541549,0.025555556,0.01749409,0,0.020588235,-0.017522659,0.028430629,-0.01760019,0.003044802,-0.00694348,0.022748815,-0.037931034,0.015440613,0.001347709,0,0,0.01722488,-0.027118644,0,0,-0.005424955,-0.040505602,0.001886792,0.048020766,-0.024390244,-0.017153454,-0.019672131,0.017621145,-0.008392226,0.009941256,-0.00875,-0.014084507,-0.000637891,0,-0.009689922
10/19/2014,0.042599278,-0.00508044,0,0.042105263,0.037780149,0.035017626,-0.002751032,-0.012828103,0.003118122,0.012229016,0.014282757,0.023508137,0.007077326,0.048924504,0.050989802,-0.003289474,0.025296851,-0.01300329,0.021515989,0.042553191,0.012078916,0.03284013,0.026164875,0.004841031,0.039950062,0.029605263,0.015797101,0,0.029286268,0.012222222,-0.007630675,0.00349975,0.008087386,0.020761246,-0.005197133,0,0.022026432,-0.01003009,0.00783324,0.032110092,-0.005011933,0.001020408,-0.010098439,-0.004417035,0.039033457,0,0.028818444,0.007226322,0.03980833,0.003510471,0.019080659,0.027828276,0.018535681,0.005017921,0.031468136,-0.015343203,-0.003636364,0,0.04929445,0.040505226,0,-0.008928571,0.043818182,0.032934132,0.024482109,0.039009288,0.008898305,0.052830189,-0.034949833,0.028138528,-0.011135857,0.008277405,0.046772899,0.055064935,0.053404255,0,0.036203523
10/20/2014,0.007617729,0.036851064,0.005117707,0.014430014,0.00370218,0.005903724,0.007701149,0.026256164,-0.001645639,0.015925316,0.025306122,0.022968198,0.026808954,0.020104544,-0.001141553,0.03630363,0.022155086,0.036984127,0.005024155,0.038917893,0.025328206,0.033542977,0.007102107,0.023697917,0.011833305,0.014217252,0.038093879,0.001360544,0.001507443,0.025795829,0.026528258,-0.003558719,0.028547614,0.003389831,-0.016393443,0,0.023275862,0.013171226,0.021268293,0.012444444,-0.023506836,0.04587156,0.010972996,0.021262347,0.03980322,-0.030535842,0.017237664,0.059227599,0.024459412,0.025331725,0.003829787,0.020408163,0,0.019900143,0.016936752,0.029979953,0.051703163,0.115783893,0.027434104,0.015487652,-0.020026702,0.009009009,0.023166696,0.014492754,-0.007352941,0.030790624,0.002239955,0.012544803,0.005025126,0.021894737,0,0.008653206,0.028474428,0.016001969,0.035952333,0.117049924,0.032672332
10/21/2014,-0.020618557,-0.027333169,-0.006746436,0.009957326,0.004098361,-0.018058691,-0.01277518,-0.030064935,-0.013369963,-0.021621622,-0.024681529,-0.015544041,-0.013941698,-0.006700828,0.005714286,-0.020700637,-0.020197044,-0.040257156,-0.014612575,-0.02284148,-0.010605277,0.039553753,-0.005780347,0.050114475,0.028813559,-0.005827689,0.039169874,-0.010869565,-0.019379116,0.020866774,-0.007490637,-0.010714286,-0.039910859,-0.01463964,-0.024175824,0,0.038753159,-0.023,-0.015412049,-0.018876207,0.002702039,0.026640676,-0.032703016,0.02295082,0.03655914,-0.026192075,0.004024571,-0.030840179,0.003460208,-0.017647059,0.059771089,-0.04,0,-0.020770683,-0.04676259,-0.02671857,0.004434162,0.000475172,0.039965096,-0.006595218,-0.032152589,0.03375,-0.001532176,-0.02,-0.021111111,-0.029678165,-0.022209806,-0.008849558,-0.021206897,-0.031726411,0,0.014078311,0.036417847,-0.027865277,-0.037629167,-0.012371134,0.005852231
