date,CWB,CU,BTE,ATA,ASR,ARX,ARE,AQN,CP,ENB,CNR,CNQ,BNS,EMA,CM,BMO,ELD,CLS,BLX,ALA,CIX,CIGI,AGI,CFP,AEM,CCO,CCA,BCE,BCB,BB,ABX,ABT,CAS,CAE
11/7/2016,-0.00118822,0.008709996,0,-0.021838903,0.022141126,0.013647061,0.007384189,-0.00606861,0.003655262,-0.001226346,-0.001058765,0.000244318,-0.006110935,0,-0.001602734,-0.000588361,0.009502734,-0.003118182,0.014319415,0.006564566,0,0.001041393,0.032754517,0.007424941,0.002113738,-0.025069688,-0.003704274,0.001676535,-0.016175586,-0.004237294,0.015631812,0.025976432,-0.007195482,-0.018309589
11/8/2016,-0.014514068,0.013339189,-0.030536724,0.122406669,0.007490672,-0.017139671,-0.033510493,0.035191901,-0.005217493,0.00280588,0.003179665,-0.021667993,0.008064553,0.010614761,-0.010550194,-0.006567666,-0.007123593,-0.004349184,0.049272884,-0.00625442,0,0.001668068,-0.046751509,0.054293082,-0.022564229,-0.010554697,-0.001765718,0.006734389,-0.011397573,-0.008421102,-0.009145637,-0.008191498,-0.000801878,-0.00362527
11/9/2016,-0.010843323,0.028607712,0.011342277,0.022634711,0.086328083,0.01051464,0.003590072,0.034606618,-0.024771211,-0.00424502,-0.029640516,-0.005045764,-0.00125679,0.020237946,-0.012007005,-0.007221474,0.07629812,-0.006180489,0.036570825,-0.000310146,-0.0187886,-0.000415704,0.053022181,-0.002143624,0.075631702,-0.052821317,0.012918207,0.025837469,-0.050814402,-0.012500163,0.083155064,0.021427873,0.019305619,-0.019437301
11/10/2016,-0.001152875,0.004988492,0.034819765,-0.020598051,0.04184711,0.02677285,-0.005734794,0.009315855,0.013080307,0.027202347,0.018961553,0.010360144,0.009667445,0.008928266,0.002154222,0.001277367,0.082603957,0.001850139,0.022368368,0.022052902,0.016814238,0.00062572,0.104772363,0.011486128,0.09278009,0.022660407,-0.005834811,0.004168659,0.088335435,-0.017445286,0.056217673,0.013432869,0.068064853,0.028781439
11/11/2016,-0.039608727,0.010612644,-0.021422436,-0.033085725,-0.037740328,-0.032923618,0.046826498,0.011286092,0.004846148,0.017754322,-0.008832525,-0.011556893,0.016322499,0.006748904,-0.006935801,-0.006023439,0.019625059,0.002472189,0.028985424,0.000321027,0.006328067,-0.002504727,-0.010411643,-0.015759638,0.004732755,-0.019335218,0.00179224,0.008741778,0.027430004,-0.006085211,0.010015391,-0.005063206,-0.000865253,0.00156042
11/14/2016,-0.016503537,-0.018082972,-0.045205437,-0.011764842,-0.028399475,-0.026770796,-0.087444627,-0.021529844,-0.0066963,-0.020110035,-0.000924961,-0.022718076,-0.007555881,-0.008092212,-0.004178047,-0.004150102,-0.086788295,-0.023847049,-0.036104003,-0.022373929,-0.007903847,0.010895181,-0.071058383,-0.01761229,-0.043994169,-0.00332519,-0.024633452,-0.016198261,-0.002414483,-0.021011278,-0.051993989,-0.005018949,0.000865253,0
11/15/2016,0.015766856,-0.013692941,0.029908771,0.014727807,0.049190244,0.017193285,0.017301786,0.000927896,-0.00041027,-0.005054267,0.013382976,0.00351626,-0.002836139,0,0.001455631,0.002188399,0.013087197,-0.019743387,0.001778147,0.001870088,0.005131529,0.029501679,0.047185577,0,-0.000168126,-0.026210816,0.007021985,-0.001209537,0.030001637,-0.006906786,-0.002863106,-0.024778587,-0.000865253,-0.003646267
11/16/2016,0.003329553,0.000816372,0.011450507,0.032163576,0.004210533,-0.010778533,-0.008344972,0.005574801,-0.012037502,-0.019969539,-0.015345682,0.004943628,-0.014341135,-0.003577611,-0.004939644,-0.009751203,0.026672537,0.011319751,-0.009432111,-0.008083712,-0.00984854,-0.021887896,0.030809655,-0.012491488,0.029339778,-0.008851512,-0.016203995,-0.008248518,0.000623088,0.005917177,0.014883392,-0.014581303,0.004352058,-0.002597136
11/17/2016,-0.02634302,0.006555078,-0.007648221,0.015440348,0,-0.005985418,0.008344972,0.004667729,0.002284054,-0.007911814,-0.003685299,-0.016613316,-0.005152162,-0.000890494,-0.005588698,-0.002735185,0.002693183,0,0.015961736,-0.012312607,-0.010910171,0.012386905,-0.002317634,-0.003442344,0.012716305,0.016973092,-0.002360652,-0.001198158,-0.005587338,-0.013752673,0.000485415,0.008072442,0.034625427,-0.013913437
11/18/2016,-0.005764459,-0.005194,-0.048336547,-0.010320009,-0.041328195,-0.020257791,-0.024145553,0.002817618,-0.013676741,-0.019940749,-0.01698109,-0.022715911,-0.00857543,0.000446423,-0.007561582,-0.005676171,-0.021451723,0.01448426,-0.001189193,-0.012162849,-0.016147465,0.001935858,-0.017190142,-0.002059733,-0.017724153,-0.003254854,-0.008453167,0.008929899,0.005587338,0.005870858,0.000485651,-0.006448714,-0.024978163,-0.010185019
